Round,Test Loss,Accuracy
0,0.0,0.0
10,2.2847655534744264,0.1578000009059906
20,2.2357415199279784,0.41119999885559083
30,2.152118277549744,0.4481999933719635
40,1.9949662685394287,0.5447999984025955
50,1.7226939916610717,0.6383000016212463
60,1.3799492001533509,0.689000004529953
70,1.0997490763664246,0.710699999332428
80,0.9093726933002472,0.751200008392334
90,0.7752188503742218,0.8002000033855439
100,0.6856225311756134,0.8260999977588653
110,0.6104063957929611,0.8456999957561493
120,0.5529801845550537,0.8593000113964081
130,0.5100587844848633,0.8661999881267548
140,0.4740936756134033,0.8749000072479248
150,0.44551041126251223,0.8824000000953675
160,0.42265720665454865,0.8886999905109405
170,0.4031602814793587,0.8908999979496002
180,0.38641597032547,0.8953999936580658
190,0.37386921644210813,0.8995999991893768
200,0.3614900216460228,0.902099996805191
210,0.3491823852062225,0.9029000043869019
220,0.33953491747379305,0.9072999954223633
230,0.32947209775447844,0.9099000096321106
240,0.32229061871767045,0.9100000023841858
250,0.31326457262039187,0.9135999977588654
260,0.30594065338373183,0.9139999985694885
270,0.29981977343559263,0.9165999948978424
280,0.2919717788696289,0.918800002336502
290,0.28545900881290437,0.9213000059127807
300,0.2801702097058296,0.9218999981880188
310,0.27506082504987717,0.9232000052928925
320,0.26780052334070203,0.9254000008106231
330,0.2623602867126465,0.9264999985694885
340,0.25593304336071016,0.9272000014781951
350,0.2510858550667763,0.9296000003814697
360,0.24717008471488952,0.9303000032901764
370,0.24262849241495132,0.9316999912261963
380,0.2379027523100376,0.9324000000953674
390,0.23190010488033294,0.9330999970436096
400,0.23007171526551246,0.9350000083446502
410,0.22350931018590928,0.9362999975681305
420,0.2194279409945011,0.9379999995231628
430,0.21631924584507942,0.9386999905109406
440,0.21185528114438057,0.9401000022888184
450,0.20874030366539956,0.9409000039100647
460,0.2044739805161953,0.9416000068187713
470,0.2007194273173809,0.9409999966621398
480,0.19781204983592032,0.9419000029563904
490,0.1937323994934559,0.9447999954223633
500,0.19069939479231834,0.9458000063896179
510,0.18860220462083815,0.9474999964237213
520,0.18601824045181276,0.9473000049591065
530,0.1810900740325451,0.9485999941825867
540,0.17835090607404708,0.9486999988555909
550,0.17626096904277802,0.9512000024318695
560,0.17313507720828056,0.9505999982357025
570,0.17146461829543114,0.9505000114440918
580,0.1684153214097023,0.9520000040531158
590,0.16558947786688805,0.9534000039100647
600,0.16315478309988976,0.9542999982833862
